Species Name,Common Name,Genus,Species,Type,Group,Leaf Arrangement,Leaf Type,Leaf Margin
Ulmus americana,American elm,Ulmus,americana,Deciduous,Elm,Alternate,Simple,Serrated
Ulmus pumila,Siberian elm,Ulmus,pumila,Deciduous,Elm,Alternate,Simple,Serrated
Ulmus rubra,"slippery elm, red elm",Ulmus,rubra,Deciduous,Elm,Alternate,Simple,Serrated
Ulmus thomasii,rock elm,Ulmus,thomasii,Deciduous,Elm,Alternate,Simple,Serrated
Viburnum lentago,nannyberry,Viburnum,lentago,,,,,
Zelkova serrata,zelkova,Zelkova,serrata,,,,,
,,,,,,,,
Juglan cinera,,Juglan,cinera,,,,,
Psuedotuga menziesii,Douglas Fir,Psuedotuga,menziesii,,,,,
Picea abies,,Picea,abies,Conifer,Spruce,Needle-like,Needle,Entire
Pinus stobus,,Pinus,stobus,Conifer,Pine,Needle-like,Needle,Entire
Juniperus virginiana,,Juniperus,virginiana,,,,,
Quercus robur,,Quercus,robur,Deciduous,Oak,Alternate,Simple,Lobed
Pinus resinosa,,Pinus,resinosa,Conifer,Pine,Needle-like,Needle,Entire
Pinus echinata,,Pinus,echinata,Conifer,Pine,Needle-like,Needle,Entire
Pinus contorta,,Pinus,contorta,Conifer,Pine,Needle-like,Needle,Entire
Thuja occidentalis,,Thuja,occidentalis,Conifer,Cedar,Scale-like,Scale-like,Entire
Pinus thunbergii,,Pinus,thunbergii,Conifer,Pine,Needle-like,Needle,Entire
Viburnum_carlesii,,Viburnum_carlesii,,,,,,
Rhus typhina,,Rhus,typhina,,,,,
Syringa vulgaris,,Syringa,vulgaris,,,,,
Castanea dentat,,Castanea,dentat,,,,,
Zelus luridus,,Zelus,luridus,,,,,
,box elder,Acer,negundo,Deciduous,Maple,Opposite,Simple,Lobed
,black maple,Acer,nigrum,Deciduous,Maple,Opposite,Simple,Lobed
,silver maple,Acer,saccharinum,Deciduous,Maple,Opposite,Simple,Lobed
,bur oak,Quercus,macrocarpa,Deciduous,Oak,Alternate,Compound,Lobed
,bitternut hickory,Carya,cordiformis,Deciduous,Hickory,Alternate,Compound,Serrated
,butternut,Juglans,cinerea,Deciduous,Walnut,Alternate,Compound,Serrated
,pecan,Carya,illinoinensis,Deciduous,Hickory,Alternate,Compound,Serrated
,white ash,Fraxinus,americana,Deciduous,Ash,Opposite,Simple,Serrated
,eastern white pine,Pinus,strobus,Conifer,Pine,Needle-like,Needle,Entire
,jack pine,Pinus,banksiana,Conifer,Pine,Needle-like,Needle,Entire
,loblolly pine,Pinus,taeda,Conifer,Pine,Needle-like,Needle,Entire
,longleaf pine,Pinus,palustris,Conifer,Pine,Needle-like,Needle,Entire
,eastern hemlock,Tsuga,canadensis,Conifer,Hemlock,Needle-like,Needle,Entire
,balsam fir,Abies,balsamea,Conifer,Fir,Needle-like,Needle,Entire
,black spruce,Picea,mariana,Conifer,Spruce,Needle-like,Needle,Entire
,white spruce,Picea,glauca,Conifer,Spruce,Needle-like,Needle,Entire
,tamarack,Larix,laricina,Conifer,Larch,Needle-like,Needle,Entire
